x,y,z
27.695512177077795,42.21315286624997,a
61.88493356889972,28.868884426141733,a
37.30061860220893,64.69811688329719,a
40.44117212329792,39.099185403894694,a
89.95789731124773,83.14539871666773,a
68.98508069721915,75.90062989865993,a
111.31379409718451,70.65325246307384,a
76.43843718771198,18.919340000020554,a
53.07220133702903,57.97866428475413,a
134.48799538096924,67.84172680194314,a
87.36149472554263,58.46633513851856,a
51.73342022727981,37.59839388885888,a
142.55960836504138,66.83515414064237,a
112.4764164027593,104.46202665957946,a
160.11759779044283,88.04389034682129,a
158.1221915083005,110.9239042030797,a
156.51566868165986,90.97248863705585,a
71.66913243809559,119.82444530666811,a
129.69856917480953,93.12539783390804,a
161.6942922617146,148.44891480043378,a
140.52208723558417,108.24771312550229,a
208.7217291989172,108.44442590860245,a
125.88684607981763,180.4331052994322,a
231.53753086366703,147.296557722265,a
181.17367448312692,135.4411145063567,a
156.35722822166215,154.16196407813362,a
265.86638534377937,182.29887603843395,a
243.23768630468538,159.2982012136219,a
236.20631144146404,162.23432169347018,a
248.74394863079092,136.62962263683454,a
270.60227999718865,167.63453924989682,a
325.6891382336574,165.6645817496754,a
264.14799920955693,222.26358741182895,a
246.74695178854782,165.22754961315633,a
312.1135307859016,161.93404627570294,a
320.21236652902445,228.7272437292038,a
253.55207933925823,168.21765130736793,a
321.725804102401,197.46611395409593,a
310.1081002060067,209.55692746442338,a
310.51556405589673,205.51762435340595,a
329.15394036413846,244.46817397399343,a
305.99924944519717,212.62691043585392,a
296.97669381626247,216.9972652723959,a
343.9410804201421,229.29347736466428,a
333.4342696949194,238.97391976694047,a
399.5915246797515,239.23179894022093,a
376.9037667725265,288.9195571073827,a
379.47564825675465,234.24558565897854,a
438.15111251824106,266.2111394528924,a
387.9144463488535,282.78107645970397,a
428.9410416445794,224.09808356109994,a
415.22130519185697,247.96080300065856,a
457.153641771301,302.5146984815858,a
403.896163890675,300.8334596410732,a
426.2787927897588,306.3921587086214,a
447.9673727569322,287.2742607810819,a
387.90086077240505,318.56672291577587,a
431.47239863756016,303.01230040484893,a
440.5469748215863,311.2884638763202,a
451.67748995561,283.3970040323147,a
445.3230062208062,282.77618415030923,a
463.3244461661485,306.86140906899186,a
468.217164561244,365.3438399865181,a
530.1058100022855,327.6649347733928,a
494.7713139328316,321.6975184806878,a
537.9681014212485,360.33552832187263,a
512.9620660911587,322.40537003374305,a
536.3139847380555,319.30108452203797,a
522.8582011694274,392.7915697743605,a
469.2385663336944,326.9665691730895,a
492.0321196128494,352.2648682268032,a
546.2586319386415,387.09725056663865,a
526.8735649659033,385.4920442608959,a
537.0981802237221,354.3234025275812,a
518.256310010291,347.0823616243292,a
547.3299338178613,359.27776201076335,a
552.0969411255434,375.673823387708,a
536.7899636126209,346.74071046749856,a
561.8704000099667,353.89006128961427,a
546.5716496937282,384.60442600549504,a
532.3587870213075,434.9276422618678,a
517.0625522508496,325.36140980458947,a
555.8700598871544,361.475729868891,a
555.4836660474086,390.41137738474845,a
566.4171047005474,391.14353003925277,a
538.5900063825289,379.49161881482195,a
576.7669817529813,346.2583076539654,a
574.1921417758776,419.41776267259957,a
575.6783115849612,411.66761378526246,a
607.3120987022406,351.84752218326776,a
593.0871105682415,371.0401688099188,a
555.797218106318,360.054330731199,a
573.550540526631,350.5254642478606,a
557.4072435932153,380.01848983032835,a
572.4541844352692,378.42304744174135,a
529.9668980886413,383.16368207278,a
563.2448079066602,398.2271013954884,a
533.2368932030686,371.15142943871837,a
582.4306604571296,421.58326362455546,a
582.8561003354974,362.7803262665894,a
574.8305570701431,358.52633082739237,a
546.7105397747038,368.69400023023604,a
